Year,State,Region,Democratic %,Republican %,P.S.,P.S. Score,National Winner
1984,North Carolina,S,37.9,61.9,R+,-5.72,Reagan
1984,North Dakota,M,33.8,64.8,R+,-13.13,Reagan
1984,Northeast,N,44.7,54.8,D+,8.21,Reagan
1984,Ohio,M,40.1,58.9,R+,-0.60,Reagan
1984,Oklahoma,S,30.7,68.6,R+,-19.88,Reagan
1984,Oregon,W,43.7,55.9,D+,6.13,Reagan
1984,Pennsylvania,N,46.0,53.3,D+,10.94,Reagan
1984,Region,,,,,,Reagan
1984,Rhode Island,N,48.0,51.7,D+,14.68,Reagan
1984,South,S,37.2,62.3,R+,-6.92,Reagan
1984,South Carolina,S,35.6,63.6,R+,-9.90,Reagan
1984,South Dakota,M,36.5,63.0,R+,-8.26,Reagan
1984,Tennessee,S,41.6,57.8,D+,1.98,Reagan
1984,Texas,S,36.1,63.6,R+,-9.23,Reagan
1984,Utah,W,24.7,74.5,R+,-31.90,Reagan
1984,Vermont,N,40.8,57.9,D+,1.01,Reagan
1984,Virginia,S,37.1,62.3,R+,-7.01,Reagan
1984,Washington,W,42.9,55.8,D+,5.20,Reagan
1984,Washington D.C.,N,85.4,13.7,D+,90.63,Reagan
1984,West,W,39.2,59.6,R+,-2.23,Reagan
1984,West Virginia,S,44.6,55.1,D+,7.79,Reagan
1984,Wisconsin,M,45.0,54.2,D+,9.09,Reagan
1984,Wyoming,W,28.2,70.5,R+,-24.46,Reagan
1988,Alabama,S,39.9,59.2,R+,-11.69,Bush
1988,Alaska,W,36.3,59.6,R+,-16.52,Bush
1988,Arizona,W,38.7,60.0,R+,-13.68,Bush
1988,Arkansas,S,42.2,56.4,R+,-6.58,Bush
1988,California,W,47.6,51.1,D+,4.19,Bush
1988,Colorado,W,45.3,53.1,R+,-0.10,Bush
1988,Connecticut,N,46.9,52.0,D+,2.64,Bush
1988,Delaware,N,43.5,55.9,R+,-4.68,Bush
1988,Florida,S,38.5,60.9,R+,-14.70,Bush
1988,Georgia,S,39.5,59.8,R+,-12.60,Bush
1988,Hawaii,W,54.3,44.8,D+,17.42,Bush
1988,Idaho,W,36.0,62.1,R+,-18.77,Bush
1988,Illinois,M,48.6,50.7,D+,5.70,Bush
1988,Indiana,M,39.7,59.8,R+,-12.45,Bush
1988,Iowa,M,54.7,44.5,D+,18.10,Bush
1988,Kansas,M,42.6,55.8,R+,-5.65,Bush
1988,Kentucky,S,43.9,55.5,R+,-3.90,Bush
1988,Louisiana,S,44.1,54.3,R+,-2.58,Bush
1988,Maine,N,43.9,55.3,R+,-3.74,Bush
1988,Maryland,N,48.2,51.1,D+,4.87,Bush
1988,Massachusetts,N,53.2,45.4,D+,15.77,Bush
1988,Michigan,M,45.7,53.6,R+,-0.15,Bush
1988,Midwest,M,46.9,52.4,D+,2.25,Bush
1988,Minnesota,M,52.9,45.9,D+,14.90,Bush
1988,Mississippi,S,39.1,59.9,R+,-13.24,Bush
1988,Missouri,M,47.9,51.8,D+,3.81,Bush
1988,Montana,W,46.2,52.1,D+,1.83,Bush
1988,Nebraska,M,39.2,60.2,R+,-13.29,Bush
1988,Nevada,W,37.9,58.9,R+,-13.83,Bush
1988,New Hampshire,N,36.3,62.5,R+,-18.66,Bush
1988,New Jersey,N,42.6,56.2,R+,-6.00,Bush
1988,New Mexico,W,46.9,51.9,D+,2.78,Bush
1988,New York,N,51.6,47.5,D+,11.94,Bush
1988,North Carolina,S,41.7,58.0,R+,-8.51,Bush
1988,North Dakota,M,43.0,56.0,R+,-5.39,Bush
1988,Northeast,N,49.0,50.0,D+,6.79,Bush
1988,Ohio,M,44.1,55.0,R+,-3.15,Bush
1988,Oklahoma,S,41.3,57.9,R+,-8.98,Bush
1988,Oregon,W,51.3,46.6,D+,12.57,Bush
1988,Pennsylvania,N,48.4,50.7,D+,5.46,Bush
1988,Region,,,,,,Bush
1988,Rhode Island,N,55.6,43.9,D+,19.56,Bush
1988,South,S,41.3,57.9,R+,-8.90,Bush
1988,South Carolina,S,37.6,61.5,R+,-16.34,Bush
1988,South Dakota,M,46.5,52.8,D+,1.42,Bush
1988,Tennessee,S,41.5,57.9,R+,-8.63,Bush
1988,Texas,S,43.3,56.0,R+,-4.89,Bush
1988,Utah,W,32.0,66.2,R+,-26.97,Bush
1988,Vermont,N,47.6,51.1,D+,4.24,Bush
1988,Virginia,S,39.2,59.7,R+,-12.91,Bush
1988,Washington,W,50.0,48.5,D+,9.42,Bush
1988,Washington D.C.,N,82.6,14.3,D+,78.29,Bush
1988,West,W,46.2,52.3,D+,1.65,Bush
1988,West Virginia,S,52.2,47.5,D+,12.56,Bush
1988,Wisconsin,M,51.4,47.8,D+,11.45,Bush
1988,Wyoming,W,38.0,60.5,R+,-15.05,Bush
1992,Alabama,S,40.9,47.6,R+,-14.55,Clinton
1992,Alaska,W,30.3,39.5,R+,-20.06,Clinton
1992,Arizona,W,36.5,38.5,R+,-9.51,Clinton
1992,Arkansas,S,53.2,35.5,D+,13.07,Clinton
1992,California,W,46.0,32.6,D+,10.12,Clinton
1992,Colorado,W,40.1,35.9,R+,-1.31,Clinton
1992,Connecticut,N,42.2,35.8,D+,1.34,Clinton
1992,Delaware,N,43.5,35.3,D+,3.49,Clinton
1992,Florida,S,39.0,40.9,R+,-9.28,Clinton
1992,Georgia,S,43.5,42.9,R+,-6.23,Clinton
1992,Hawaii,W,48.1,36.7,D+,6.53,Clinton
1992,Idaho,W,28.4,42.0,R+,-26.23,Clinton
1992,Illinois,M,48.6,34.3,D+,10.27,Clinton
1992,Indiana,M,36.8,42.9,R+,-14.58,Clinton
