,Year,State,Region,Democratic %,Republican %,P.S.,P.S. Score,National Winner,State Winner,ElectionYear_Unemployment,Change_Since_Last_Election
581,2012,Vermont,Northeast,66.6,31.0,D+,32.57,Obama (D),Democrat,4.6,-0.6000000000000005
582,2016,Vermont,Northeast,56.7,30.3,D+,28.15,Trump (R),Democrat,3.1,-1.4999999999999996
583,2020,Vermont,Northeast,66.1,30.7,D+,32.06,Biden (D),Democrat,4.2,1.1
584,2024,Vermont,Northeast,63.8,32.3,D+,34.27,Trump (R),Democrat,2.5,-1.7000000000000002
585,1976,Virginia,South,48.0,49.3,R+,-3.48,Carter (D),Republican,5.8,
586,1980,Virginia,South,40.3,53.0,R+,-3.02,Reagan (R),Republican,5.4,-0.39999999999999947
587,1984,Virginia,South,37.1,62.3,R+,-7.01,Reagan (R),Republican,5.2,-0.20000000000000018
588,1988,Virginia,South,39.2,59.7,R+,-12.91,Bush H.W. (R),Republican,4.0,-1.2000000000000002
589,1992,Virginia,South,40.6,45.0,R+,-12.02,Clinton (D),Republican,5.7,1.7000000000000002
590,1996,Virginia,South,45.1,47.1,R+,-11.59,Clinton (D),Republican,4.1,-1.6000000000000005
591,2000,Virginia,South,44.4,52.5,R+,-8.83,Bush W. (R),Republican,2.2,-1.8999999999999995
592,2004,Virginia,South,45.5,53.7,R+,-5.78,Bush W. (R),Republican,3.6,1.4
593,2008,Virginia,South,52.6,46.3,R+,-1.01,Obama (D),Republican,4.9,1.3000000000000003
594,2012,Virginia,South,51.2,47.3,D+,0.01,Obama (D),Democrat,5.6,0.6999999999999993
595,2016,Virginia,South,49.8,44.4,D+,3.43,Trump (R),Democrat,4.0,-1.5999999999999996
596,2020,Virginia,South,54.1,44.0,D+,5.77,Biden (D),Democrat,5.3,1.2999999999999998
597,2024,Virginia,South,51.8,46.1,D+,7.4,Trump (R),Democrat,2.9,-2.4
598,1976,Washington,West,46.1,50.0,R+,-6.15,Carter (D),Republican,9.2,
599,1980,Washington,West,37.3,49.7,R+,-3.58,Reagan (R),Republican,8.4,-0.7999999999999989
600,1984,Washington,West,42.9,55.8,D+,5.2,Reagan (R),Democrat,8.9,0.5
601,1988,Washington,West,50.0,48.5,D+,9.42,Bush H.W. (R),Democrat,6.0,-2.9000000000000004
602,1992,Washington,West,43.4,32.0,D+,8.27,Clinton (D),Democrat,7.5,1.5
603,1996,Washington,West,49.8,37.3,D+,4.92,Clinton (D),Democrat,5.5,-2.0
604,2000,Washington,West,50.1,44.6,D+,5.35,Bush W. (R),Democrat,5.2,-0.2999999999999998
605,2004,Washington,West,52.8,45.6,D+,9.78,Bush W. (R),Democrat,5.9,0.7000000000000002
606,2008,Washington,West,57.3,40.3,D+,10.13,Obama (D),Democrat,6.0,0.09999999999999964
607,2012,Washington,West,55.8,41.0,D+,11.33,Obama (D),Democrat,7.4,1.4000000000000004
608,2016,Washington,West,52.5,36.8,D+,15.35,Trump (R),Democrat,4.9,-2.5
609,2020,Washington,West,58.0,38.8,D+,15.31,Biden (D),Democrat,6.9,2.0
610,2024,Washington,West,57.2,39.0,D+,20.43,Trump (R),Democrat,4.4,-2.5
611,1976,West Virginia,South,58.1,41.9,D+,14.03,Carter (D),Democrat,6.9,
612,1980,West Virginia,South,49.8,45.3,D+,15.35,Reagan (R),Democrat,10.9,4.0
613,1984,West Virginia,South,44.6,55.1,D+,7.79,Reagan (R),Democrat,14.3,3.4000000000000004
614,1988,West Virginia,South,52.2,47.5,D+,12.56,Bush H.W. (R),Democrat,9.4,-4.9
615,1992,West Virginia,South,48.4,35.4,D+,8.63,Clinton (D),Democrat,10.9,1.5
616,1996,West Virginia,South,51.5,36.8,D+,7.24,Clinton (D),Democrat,7.5,-3.4000000000000004
617,2000,West Virginia,South,45.6,51.9,R+,-7.02,Bush W. (R),Republican,5.4,-2.0999999999999996
618,2004,West Virginia,South,43.2,56.1,R+,-10.47,Bush W. (R),Republican,5.2,-0.20000000000000018
619,2008,West Virginia,South,42.5,55.6,R+,-20.72,Obama (D),Republican,5.1,-0.10000000000000053
620,2012,West Virginia,South,35.5,62.1,R+,-31.28,Obama (D),Republican,7.2,2.1000000000000005
621,2016,West Virginia,South,26.2,67.8,R+,-46.55,Trump (R),Republican,5.8,-1.4000000000000004
622,2020,West Virginia,South,29.7,68.6,R+,-44.14,Biden (D),Republican,6.6,0.7999999999999998
623,2024,West Virginia,South,28.1,69.9,R+,-41.19,Trump (R),Republican,4.1,-2.5
624,1976,Wisconsin,Midwest,49.5,47.8,R+,-0.38,Carter (D),Republican,5.4,
625,1980,Wisconsin,Midwest,43.2,47.9,D+,5.43,Reagan (R),Democrat,8.4,3.0
626,1984,Wisconsin,Midwest,45.0,54.2,D+,9.09,Reagan (R),Democrat,7.0,-1.4000000000000004
627,1988,Wisconsin,Midwest,51.4,47.8,D+,11.45,Bush H.W. (R),Democrat,4.2,-2.8
628,1992,Wisconsin,Midwest,41.1,36.8,R+,-1.32,Clinton (D),Republican,5.0,0.7999999999999998
629,1996,Wisconsin,Midwest,48.8,38.5,D+,2.37,Clinton (D),Democrat,3.5,-1.5
630,2000,Wisconsin,Midwest,47.8,47.6,R+,-0.31,Bush W. (R),Republican,3.6,0.10000000000000009
631,2004,Wisconsin,Midwest,49.7,49.3,D+,2.87,Bush W. (R),Democrat,4.8,1.1999999999999997
632,2008,Wisconsin,Midwest,56.2,42.3,D+,6.73,Obama (D),Democrat,6.1,1.2999999999999998
633,2012,Wisconsin,Midwest,52.8,45.9,D+,3.1,Obama (D),Democrat,6.8,0.7000000000000002
634,2016,Wisconsin,Midwest,46.5,47.2,R+,-3.04,Trump (R),Republican,3.8,-3.0
635,2020,Wisconsin,Midwest,49.4,48.8,R+,-3.9,Biden (D),Republican,5.0,1.2000000000000002
636,2024,Wisconsin,Midwest,48.7,49.6,D+,0.63,Trump (R),Democrat,3.1,-1.9
637,1976,Wyoming,West,39.8,59.3,R+,-21.77,Carter (D),Republican,3.8,
638,1980,Wyoming,West,28.0,62.6,R+,-27.65,Reagan (R),Republican,4.4,0.6000000000000005
639,1984,Wyoming,West,28.2,70.5,R+,-24.46,Reagan (R),Republican,6.5,2.0999999999999996
640,1988,Wyoming,West,38.0,60.5,R+,-15.05,Bush H.W. (R),Republican,6.3,-0.20000000000000018
641,1992,Wyoming,West,34.0,39.5,R+,-14.49,Clinton (D),Republican,5.3,-1.0
642,1996,Wyoming,West,36.8,49.8,R+,-24.45,Clinton (D),Republican,5.2,-0.09999999999999964
643,2000,Wyoming,West,27.7,67.8,R+,-42.5,Bush W. (R),Republican,3.7,-1.5
644,2004,Wyoming,West,29.1,68.9,R+,-38.14,Bush W. (R),Republican,3.7,0.0
645,2008,Wyoming,West,32.5,64.8,R+,-40.5,Obama (D),Republican,3.6,-0.10000000000000009
646,2012,Wyoming,West,27.8,68.6,R+,-46.25,Obama (D),Republican,5.1,1.4999999999999996
647,2016,Wyoming,West,21.9,68.2,R+,-53.64,Trump (R),Republican,5.1,0.0
648,2020,Wyoming,West,26.6,69.9,R+,-49.5,Biden (D),Republican,5.5,0.40000000000000036
649,2024,Wyoming,West,25.8,71.6,R+,-45.46,Trump (R),Republican,3.6,-1.9
